"","player","salary","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"34","Avery Bradley",7730337,"SG",74,180,12,74,156,13,19,35,26,19,3,17,26,190,"BOS"
"35","Ben McLemore",3156600,"SG",77,195,15,42,97,15,19,25,18,9,1,24,33,115,"SAC"
"36","Beno Udrih",2170465,"PG",75,205,2,2,4,0,0,4,1,0,0,2,0,4,"MIA"
"37","Beno Udrih",2170465,"PG",75,205,8,20,46,3,3,9,26,3,1,11,11,47,"MEM"
"38","Bismack Biyombo",3e+06,"C",81,245,15,22,52,23,31,95,3,2,13,11,41,67,"TOR"
"39","Blake Griffin",18907725,"PF",82,251,14,138,260,62,83,119,63,12,7,30,43,341,"LAC"
"40","Boban Marjanovic",1200000,"C",87,290,7,6,11,3,6,8,1,0,1,4,5,15,"SAS"
"41","Bobby Portis",1391160,"PF",83,230,2,6,10,0,0,2,1,1,1,2,2,12,"CHI"
"42","Bojan Bogdanovic",3425510,"SF",80,216,14,53,121,14,20,42,13,10,0,22,17,133,"BRK"
"43","Boris Diaw",7e+06,"PF",80,250,14,30,64,8,11,40,43,6,5,15,19,72,"SAS"
"44","Bradley Beal",5694674,"SG",77,207,8,64,137,17,24,34,19,9,2,22,19,163,"WAS"
"45","Brandan Wright",5500000,"PF",82,210,7,18,30,10,18,24,4,1,10,4,9,46,"MEM"
"46","Brandon Bass",3e+06,"PF",80,250,13,27,53,15,18,59,11,4,7,13,23,69,"LAL"
"47","Brandon Knight",1.2e+07,"SG",75,189,14,108,245,47,55,63,75,20,7,52,31,300,"PHO"
"48","Brandon Rush",1270964,"SG",78,210,8,7,20,2,4,18,4,2,1,3,1,20,"GSW"
"49","Brian Roberts",2854940,"PG",73,173,7,6,17,2,3,4,5,0,0,1,2,14,"CHO"
"50","Brook Lopez",2e+07,"C",85,275,14,107,223,62,75,117,20,4,29,28,40,276,"BRK"
"51","Bruno Caboclo",1524000,"SF",81,205,1,0,1,0,0,0,0,0,0,0,0,0,"TOR"
"52","C.J. McCollum",2525160,"SG",76,200,16,121,270,45,51,56,51,15,6,35,38,319,"POR"
"53","C.J. Miles",4394225,"SF",78,231,11,57,124,27,33,22,16,18,3,20,23,175,"IND"
"54","C.J. Watson",5e+06,"PG",74,175,8,14,38,5,7,16,25,8,0,6,10,38,"ORL"
"55","Cameron Bairstow",845059,"C",81,250,2,1,4,0,0,3,0,0,0,0,3,2,"CHI"
"56","Cameron Payne",2021520,"PG",75,185,8,3,12,0,0,3,7,1,0,3,6,7,"OKC"
"57","Carmelo Anthony",22875000,"SF",80,240,15,117,285,79,90,109,50,15,9,33,40,337,"NYK"
"58","Caron Butler",1499187,"SF",79,228,7,9,23,1,2,9,2,4,0,2,4,20,"SAC"
"59","Chandler Parsons",15361500,"SF",81,227,11,37,77,4,13,34,10,4,4,12,14,86,"DAL"
"60","Channing Frye",7807579,"C",83,255,9,21,43,3,4,31,4,1,2,4,13,59,"ORL"
"61","Charlie Villanueva",1499187,"PF",83,232,13,35,86,3,4,40,7,1,5,6,20,86,"DAL"
"62","Chase Budinger",5e+06,"SF",79,209,14,27,61,9,14,31,20,8,5,9,16,76,"IND"
"63","Chris Andersen",5e+06,"C",82,245,2,1,1,1,2,4,0,0,0,2,1,3,"MIA"
"64","Chris Bosh",22192730,"PF",83,235,13,76,175,60,74,122,21,11,15,13,20,233,"MIA"
"65","Chris Copeland",1100000,"PF",81,239,11,13,36,4,5,6,6,2,0,3,10,37,"MIL"
"66","Chris Johnson",981348,"SF",78,206,10,6,17,2,4,9,2,1,0,2,6,18,"UTA"
"67","Chris Kaman",5e+06,"C",85,265,3,5,15,0,0,8,4,0,0,3,5,10,"POR"
"68","Chris Paul",21468696,"PG",73,175,11,64,144,42,50,38,93,18,0,27,29,184,"LAC"
"69","Christian Wood",525093,"PF",83,220,11,16,38,8,11,28,3,4,5,2,9,43,"PHI"
"70","Cleanthony Early",845059,"SF",80,210,5,3,4,0,0,2,1,1,0,0,2,7,"NYK"
"71","Cliff Alexander",525093,"PF",80,240,4,4,9,0,0,6,0,0,2,0,0,8,"POR"
"72","Clint Capela",1242720,"C",82,240,14,45,62,15,31,93,7,9,19,10,30,105,"HOU"
"73","Cody Zeller",4204200,"C",85,240,12,27,62,28,43,64,9,10,7,9,26,82,"CHO"
"74","Cole Aldrich",1100600,"C",83,250,4,2,3,0,0,4,0,0,0,1,3,4,"LAC"
"75","Corey Brewer",8200000,"SF",81,186,14,33,109,19,27,35,19,13,3,11,31,93,"HOU"
"76","Cory Jefferson",845059,"PF",81,218,1,1,3,0,2,2,0,0,0,0,1,2,"PHO"
"77","Cory Joseph",7e+06,"PG",75,190,15,52,100,35,42,42,47,11,3,15,23,143,"TOR"
"78","Courtney Lee",5675000,"SG",77,200,15,44,123,29,31,44,17,19,5,13,25,126,"MEM"
"79","Cristiano Felicio",525090,"C",82,275,1,0,0,0,0,0,1,0,0,0,0,0,"CHI"
"80","D'Angelo Russell",5103120,"PG",77,195,14,57,141,11,15,62,40,14,4,23,21,143,"LAL"
"81","D.J. Augustin",3e+06,"PG",73,183,15,32,73,15,22,23,37,10,1,22,17,94,"OKC"
"82","Damian Lillard",4236287,"PG",75,195,16,140,336,77,89,73,115,19,5,57,41,402,"POR"
"83","Damien Inglis",855000,"SF",80,246,5,2,8,3,4,8,2,2,0,3,5,8,"MIL"
"84","Damjan Rudez",1149500,"SF",82,228,6,2,4,0,0,4,1,0,0,1,2,5,"MIN"
"85","Danilo Gallinari",1.4e+07,"SF",82,225,15,75,194,100,110,96,38,7,10,22,30,273,"DEN"
"86","Danny Green",1e+07,"SG",78,215,14,41,118,8,11,60,35,8,9,20,21,112,"SAS"
"87","Dante Cunningham",3e+06,"SF",80,230,14,33,66,5,8,55,9,6,4,6,30,78,"NOP"
"88","Darrell Arthur",2814000,"PF",81,235,14,34,87,5,8,55,14,6,10,8,39,77,"DEN"
"89","Darren Collison",5013559,"PG",73,175,10,47,115,23,29,14,42,10,0,19,17,127,"SAC"
"90","Darrun Hilliard",525093,"G",78,205,1,1,7,0,0,3,0,0,0,2,0,2,"DET"
"91","David Lee",15493680,"PF",81,245,14,36,73,25,30,57,22,6,4,19,30,97,"BOS"
"92","David West",1499000,"PF",81,250,14,34,62,8,12,50,28,5,5,20,27,76,"SAS"
"93","DeAndre Jordan",19500000,"C",83,265,14,56,79,41,103,180,17,6,41,18,46,153,"LAC"
"94","DeJuan Blair",2e+06,"C",79,270,5,2,12,1,2,12,3,2,0,6,13,5,"WAS"
"95","Delon Wright",1509360,"PG",77,190,4,0,4,0,0,4,0,0,0,1,1,0,"TOR"
"96","DeMar DeRozan",9500000,"SG",79,220,15,97,236,115,139,67,63,18,3,40,28,313,"TOR"
"97","DeMarcus Cousins",14728844,"PF",83,270,10,90,200,83,108,112,25,8,15,33,37,279,"SAC"
"98","DeMarre Carroll",13500000,"SF",80,212,12,59,148,19,30,59,15,24,3,18,31,160,"TOR"
"99","Dennis Schroder",1763400,"PG",73,172,16,72,176,23,29,41,76,12,0,32,27,186,"ATL"
"100","Deron Williams",5500000,"PG",75,200,14,67,154,44,47,38,76,20,3,30,37,196,"DAL"
"101","Deron Williams",5500000,"PG",75,200,14,67,154,44,47,38,76,20,3,30,37,196,"DAL"
"102","Derrick Favors",11933333,"PF",82,265,13,85,160,35,54,116,20,25,19,22,27,205,"UTA"
"103","Derrick Rose",20093063,"PG",75,190,11,62,166,25,31,34,66,6,3,28,16,153,"CHI"
"104","Derrick Williams",4900000,"PF",80,240,15,30,82,37,51,35,11,9,4,10,11,103,"NYK"
"105","Devin Booker",2127840,"SG",78,206,11,20,39,5,7,13,4,4,3,6,12,53,"PHO"
"106","Devin Harris",4053000,"PG",75,192,14,36,95,24,39,37,33,19,6,14,28,102,"DAL"
"107","Devyn Marble",845059,"SG",78,200,2,0,4,0,0,1,0,1,0,0,1,0,"ORL"
"108","Dewayne Dedmon",947278,"C",85,245,13,23,47,16,23,61,2,8,18,9,37,62,"ORL"
"109","Dion Waiters",5138430,"SG",76,225,15,60,144,30,36,54,29,18,3,26,32,166,"OKC"
"110","Dirk Nowitzki",8333334,"PF",85,245,14,94,180,34,38,93,21,8,8,14,30,248,"DAL"
"111","Donald Sloan",1015421,"PG",75,205,2,0,5,2,2,2,0,2,0,1,1,2,"BRK"
"112","Doug McDermott",2380440,"SF",80,225,13,47,95,7,9,28,9,2,1,8,18,123,"CHI"
"113","Draymond Green",14300000,"PF",79,230,16,74,153,28,35,125,106,19,21,42,50,203,"GSW"
"114","Drew Gooden",3300000,"PF",82,250,6,6,25,2,2,27,3,3,4,3,6,16,"WAS"
"115","Dwight Howard",22359364,"C",83,265,9,50,80,24,44,122,17,5,18,28,32,124,"HOU"
"116","Dwight Powell",845059,"PF",83,240,15,58,109,32,48,108,20,10,12,13,39,148,"DAL"
"117","Dwyane Wade",2e+07,"SG",76,220,12,82,192,51,63,39,56,14,7,25,22,221,"MIA"
"118","E'Twaun Moore",1015421,"SG",76,191,13,29,61,4,6,24,13,6,2,8,15,68,"CHI"
"119","Ed Davis",7e+06,"PF",82,240,16,43,68,22,41,117,19,11,13,18,47,108,"POR"
"120","Elfrid Payton",2505720,"PG",76,185,14,52,152,28,37,58,84,20,4,37,32,139,"ORL"
"121","Elijah Millsap",845059,"SG",78,225,8,2,11,7,10,9,4,1,1,2,11,12,"UTA"
"122","Emmanuel Mudiay",3102240,"PG",77,200,15,69,209,34,49,56,94,17,13,63,33,187,"DEN"
"123","Enes Kanter",16400000,"C",83,245,15,79,135,30,40,127,13,1,6,21,41,189,"OKC"
"124","Eric Bledsoe",13086957,"PG",73,190,13,106,221,66,81,55,75,26,6,47,33,302,"PHO"
"125","Eric Gordon",15514031,"SG",76,215,14,90,224,39,45,37,45,17,3,23,34,259,"NOP"
"126","Eric Moreland",845059,"PF",82,238,3,1,2,0,2,3,0,0,1,0,0,2,"SAC"
"127","Ersan Ilyasova",7900000,"PF",82,235,14,46,108,18,24,50,18,7,6,17,34,132,"DET"
"128","Evan Fournier",2288205,"SF",79,205,14,97,210,34,42,56,39,20,0,26,41,263,"ORL"
"129","Evan Turner",3425510,"SG",79,220,14,53,118,17,21,62,50,14,5,28,23,127,"BOS"
"130","Festus Ezeli",2008748,"C",83,255,16,51,90,27,52,95,19,6,25,15,44,129,"GSW"
"131","Frank Kaminsky",2612500,"C",85,242,13,23,51,5,6,28,13,5,6,4,11,60,"CHO"
"132","Garrett Temple",1100602,"SF",78,195,9,16,41,14,17,20,10,4,0,5,13,53,"WAS"
"133","Gary Harris",1587480,"SG",76,210,15,59,120,14,18,41,28,16,3,21,28,152,"DEN"
"134","Gary Neal",2100000,"SG",76,210,11,39,85,10,10,19,10,6,0,10,11,100,"WAS"
"135","George Hill",8e+06,"PG",75,188,11,51,117,26,35,41,42,17,3,22,28,154,"IND"
"136","Gerald Green",1356000,"SG",79,205,7,17,57,11,13,18,3,0,1,4,17,53,"MIA"
"137","Gerald Henderson",6e+06,"SG",77,215,8,15,46,3,8,16,2,3,1,9,2,37,"POR"
"138","Giannis Antetokounmpo",1953960,"SF",83,222,13,85,164,50,59,86,34,14,14,34,50,228,"MIL"
"139","Glenn Robinson III",845000,"PF",79,222,10,21,41,12,17,18,4,6,2,5,3,60,"IND"
"140","Goran Dragic",14780000,"SG",75,190,13,54,127,22,29,46,60,12,3,29,36,139,"MIA"
"141","Gordon Hayward",15409570,"SF",80,226,13,73,177,54,69,63,38,10,3,29,33,215,"UTA"
"142","Gorgui Dieng",1474440,"C",83,241,14,38,76,19,23,70,5,16,12,20,30,95,"MIN"
"143","Greg Monroe",16400000,"C",83,265,14,95,184,40,55,142,39,18,12,27,33,230,"MIL"
"144","Greivis Vasquez",6600000,"PG",78,217,14,34,102,21,24,34,64,7,0,27,30,100,"MIL"
"145","Harrison Barnes",3873398,"SF",80,210,16,81,163,38,43,78,33,14,3,17,31,221,"GSW"
"146","Hassan Whiteside",981348,"C",85,265,13,79,130,31,58,144,4,10,63,28,28,189,"MIA"
"147","Hollis Thompson",947276,"SG",80,206,15,44,115,14,19,63,23,10,4,26,41,131,"PHI"
"148","Ian Clark",947276,"SG",75,175,12,11,28,7,8,11,13,3,2,6,8,33,"GSW"
"149","Ian Mahinmi",4e+06,"C",83,250,13,41,80,5,24,85,16,14,19,11,39,87,"IND"
"150","Isaiah Canaan",947276,"PG",73,201,15,45,138,33,39,33,26,12,4,21,22,157,"PHI"
"151","Isaiah Thomas",6912869,"PG",69,185,14,95,229,68,80,25,86,22,0,39,27,288,"BOS"
"152","Ish Smith",1100602,"PG",73,175,14,63,154,20,25,56,111,16,6,30,27,154,"NOP"
"153","J.J. Barea",4e+06,"PG",73,185,15,49,121,23,28,33,62,4,1,29,26,130,"DAL"
"154","J.J. Hickson",5613500,"C",81,242,13,43,79,17,36,60,13,6,9,10,24,103,"DEN"
"155","J.J. Redick",6867000,"SG",76,190,11,55,113,26,30,14,17,6,2,15,26,158,"LAC"
"156","J.R. Smith",5e+06,"SG",78,225,11,46,116,3,9,34,23,6,6,14,31,118,"CLE"
"157","Jabari Parker",5152440,"PF",80,250,8,32,62,8,10,25,7,4,3,6,8,72,"MIL"
"158","Jae Crowder",6e+06,"SF",78,235,14,53,126,32,38,67,25,34,5,25,32,154,"BOS"
"159","Jahlil Okafor",4582680,"C",83,275,15,119,248,38,59,120,19,4,25,46,43,276,"PHI"
"160","JaKarr Sampson",845059,"SF",81,214,15,31,63,22,31,42,6,4,1,20,32,86,"PHI"
"161","Jamal Crawford",5675000,"SG",77,195,14,62,161,53,56,27,30,9,1,18,24,194,"LAC"
"162","Jameer Nelson",4500000,"PG",73,190,13,36,106,10,13,30,56,7,0,23,35,94,"DEN"
"163","James Anderson",1015421,"SG",78,213,9,8,29,6,7,7,5,4,1,8,6,28,"SAC"
"164","James Ennis",845059,"F",79,210,2,0,1,0,0,1,0,1,0,0,0,0,"MEM"
"165","James Ennis",845059,"F",79,210,3,0,0,0,0,0,1,0,0,0,1,0,"MIA"
"166","James Harden",15756438,"SG",77,220,14,109,287,138,156,87,90,28,14,67,36,391,"HOU"
"167","James Johnson",2500000,"PF",81,250,11,15,27,8,14,27,11,5,6,15,12,40,"TOR"
"168","James Jones",1499000,"SF",80,218,14,14,37,5,8,13,5,2,2,3,17,45,"CLE"
"169","James Michael McAdoo",845059,"PF",81,230,12,9,16,8,19,14,5,3,0,5,8,26,"GSW"
"170","James Young",1749840,"SG",78,215,2,1,1,0,0,0,0,1,0,0,0,3,"BOS"
"171","JaMychal Green",845059,"PF",81,227,15,38,81,23,28,75,7,8,7,19,40,105,"MEM"
"172","Jared Cunningham",981348,"SG",76,195,12,14,40,13,22,14,10,5,2,8,17,45,"CLE"
"173","Jared Dudley",4250000,"PF",79,225,10,20,41,7,9,37,10,6,3,8,12,57,"WAS"
"174","Jared Sullinger",2269260,"PF",81,260,14,62,137,14,21,120,34,15,10,17,36,149,"BOS"
"175","Jarnell Stokes",845059,"F-C",81,263,2,0,0,0,0,2,0,0,0,0,0,0,"MEM"
"176","Jarrett Jack",6300000,"PG",75,200,13,69,164,42,49,58,92,8,3,36,33,195,"BRK"
"177","Jason Smith",4300000,"C",85,245,9,18,43,8,9,28,4,2,8,6,21,45,"ORL"
"178","Jason Terry",1499187,"SG",74,185,12,21,53,3,3,12,15,5,2,12,24,58,"HOU"
"179","Jason Thompson",6431250,"C",83,250,7,7,15,1,2,14,5,2,2,3,10,15,"GSW"
"180","JaVale McGee",1270964,"C",85,270,1,4,5,0,2,6,0,0,0,2,1,8,"DAL"
"181","JaVale McGee",1.2e+07,"C",85,270,1,4,5,0,2,6,0,0,0,2,1,8,"DAL"
"182","Jeff Green",9200000,"SF",81,235,15,51,128,34,38,60,24,10,6,19,36,146,"MEM"
"183","Jeff Teague",8e+06,"PG",74,186,13,73,177,58,68,33,85,18,7,38,29,217,"ATL"
"184","Jeff Withey",947276,"C",85,231,6,6,10,2,4,13,0,2,5,2,5,14,"UTA"
"185","Jerami Grant",845059,"SF",80,210,15,52,126,41,58,75,17,8,25,19,46,150,"PHI"
"186","Jeremy Evans",1100602,"SF",81,196,12,10,15,5,7,22,1,1,4,5,9,27,"DAL"
"187","Jeremy Lamb",3034356,"SG",77,185,13,67,125,11,16,57,19,7,7,10,20,162,"CHO"
"188","Jeremy Lin",2100000,"PG",75,200,14,54,133,43,53,40,41,13,7,26,25,164,"CHO"
"189","Jerian Grant",1572360,"PG",76,195,15,27,79,33,39,33,43,8,0,18,30,89,"NYK"
"190","Jerryd Bayless",3e+06,"SG",75,200,14,57,130,22,28,38,49,17,3,26,33,165,"MIL"
"191","Jimmy Butler",15260000,"SG",79,220,13,90,196,74,94,68,44,27,9,20,26,274,"CHI"
"192","Joakim Noah",13400000,"C",83,232,12,15,44,5,15,98,39,8,9,23,34,35,"CHI"
"193","Jodie Meeks",6270000,"SG",76,208,2,1,5,0,0,2,0,0,0,1,2,2,"DET"
"194","Joe Harris",845059,"SG",78,219,5,1,4,0,0,3,2,0,0,1,1,3,"CLE"
"195","Joe Ingles",2250000,"SF",80,226,13,18,37,2,2,22,13,6,1,8,14,47,"UTA"
"196","Joe Johnson",24894863,"SF",79,240,14,56,162,29,36,66,61,9,1,20,25,157,"BRK"
"197","Joel Anthony",2500000,"C",81,245,1,0,0,2,2,3,1,1,0,1,0,2,"DET"
"198","Joffrey Lauvergne",1709720,"C",83,220,3,12,18,5,5,19,6,1,1,2,9,32,"DEN"
"199","John Henson",2943221,"C",83,229,10,24,45,12,19,31,8,3,11,11,25,60,"MIL"
"200","John Jenkins",981000,"SG",76,215,5,10,27,3,3,10,5,1,0,4,2,24,"DAL"
"201","John Wall",15851950,"PG",76,195,11,64,151,42,56,37,89,20,14,49,27,184,"WAS"
"202","Johnny O'Bryant",845059,"PF",81,257,14,21,52,14,19,50,12,3,4,5,28,56,"MIL"
"203","Jon Leuer",1035000,"PF",82,228,14,28,70,10,15,67,14,7,3,10,27,78,"PHO"
"204","Jonas Jerebko",5e+06,"PF",82,231,14,16,42,12,12,38,12,2,3,13,24,46,"BOS"
"205","Jonas Valanciunas",4660482,"C",85,255,14,69,124,40,52,130,6,4,10,22,37,178,"TOR"
"206","Jonathon Simmons",525093,"SG",78,195,3,1,2,2,2,3,2,1,0,0,3,4,"SAS"
"207","Jordan Adams",1404600,"SG",77,209,2,2,6,3,5,2,3,3,0,2,2,7,"MEM"
"208","Jordan Clarkson",845059,"SG",77,185,14,83,180,22,29,41,28,12,4,27,23,209,"LAL"
"209","Jordan Hill",4e+06,"PF",82,235,13,49,113,21,30,108,18,13,4,18,28,119,"IND"
"210","Jordan Mickey",1200000,"PF",80,235,2,1,2,3,3,3,1,0,1,0,1,5,"BOS"
"211","Jose Calderon",7402812,"PG",75,200,15,42,93,7,7,33,51,16,0,16,27,109,"NYK"
"212","Joseph Young",1e+06,"PG",74,180,5,2,10,5,6,3,4,2,0,3,2,9,"IND"
"213","Josh McRoberts",5543725,"PF",82,240,13,9,32,8,12,42,23,7,1,11,23,28,"MIA"
"214","Josh Richardson",525093,"SG",78,200,4,3,8,1,2,3,2,1,0,2,7,9,"MIA"
