"","player","salary","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"273","Marcus Smart",3431040,"PG",76,220,9,28,84,22,32,34,29,16,3,15,28,88,"BOS"
"274","Marcus Thornton",1186000,"SG",76,205,12,57,143,0,0,42,21,13,1,7,21,138,"HOU"
"275","Mario Chalmers",4300000,"PG",74,190,6,10,32,12,13,14,19,8,1,9,16,33,"MIA"
"276","Mario Chalmers",4300000,"PG",74,190,6,20,49,39,45,10,16,12,1,7,16,86,"MEM"
"277","Mario Hezonja",3741480,"SF",80,215,14,23,62,8,9,25,10,3,1,19,19,65,"ORL"
"278","Markel Brown",845059,"SG",75,190,7,8,29,4,6,4,8,3,1,4,10,23,"BRK"
"279","Markieff Morris",8e+06,"PF",82,245,12,67,163,20,28,66,20,11,6,27,35,164,"PHO"
"280","Marreese Speights",3815000,"PF",82,255,13,22,68,16,21,47,6,3,6,15,24,61,"GSW"
"281","Marvin Williams",7e+06,"PF",81,237,14,51,112,16,19,99,20,10,17,13,26,140,"CHO"
"282","Mason Plumlee",1415520,"C",83,245,16,64,113,38,69,138,40,18,19,29,51,166,"POR"
"283","Matt Barnes",3542500,"SF",79,226,15,36,107,16,19,55,16,19,9,11,48,104,"MEM"
"284","Matt Bonner",1499190,"C",82,235,3,0,0,1,2,1,0,0,0,0,0,1,"SAS"
"285","Matthew Dellavedova",1147280,"SG",76,198,14,42,95,11,13,32,83,11,0,19,31,110,"CLE"
"286","Maurice Harkless",2894059,"SF",81,215,16,37,82,13,20,58,16,7,7,18,21,97,"POR"
"287","Metta World Peace",1499187,"SF",78,260,10,18,47,8,13,22,10,7,5,4,16,55,"LAL"
"288","Meyers Leonard",3075880,"PF",85,245,9,30,68,8,9,40,15,2,5,8,28,76,"POR"
"289","Michael Carter-Williams",2399040,"PG",78,190,9,41,90,21,30,31,47,12,7,31,27,108,"MIL"
"290","Mike Conley",9388426,"PG",73,175,15,80,194,47,55,43,98,20,1,24,30,230,"MEM"
"291","Mike Miller",1499187,"SF",80,218,10,7,13,0,0,8,2,3,0,1,6,21,"DEN"
"292","Mike Miller",2854940,"SF",80,218,10,7,13,0,0,8,2,3,0,1,6,21,"DEN"
"293","Mike Muscala",947276,"PF",83,240,10,10,21,9,11,13,6,3,5,4,8,34,"ATL"
"294","Mike Scott",3333333,"PF",80,237,14,25,53,11,12,25,15,2,1,8,15,66,"ATL"
"295","Miles Plumlee",2109294,"C",83,249,12,11,21,2,2,19,3,1,6,8,13,24,"MIL"
"296","Mirza Teletovic",5500000,"PF",81,242,14,29,77,2,3,39,16,6,4,7,12,83,"PHO"
"297","Mitch McGary",1463040,"PF",82,255,6,3,6,3,6,9,2,0,1,5,5,9,"OKC"
"298","Mo Williams",2100000,"PG",73,198,11,63,132,25,28,38,58,7,1,24,23,171,"CLE"
"299","Monta Ellis",10300000,"SG",75,185,14,72,173,22,32,49,74,24,7,41,34,175,"IND"
"300","Montrezl Harrell",1e+06,"PF",80,240,13,21,30,10,19,24,2,3,5,8,18,52,"HOU"
"301","Myles Turner",2357760,"C",83,243,8,21,38,7,10,23,1,3,7,6,16,49,"IND"
